id,项目名称,发布时间,类别,来源,省份,市,区县,项目编号,采购人,代理机构,预算(万元),项目地址,项目周期,中标人,中标金额(元),中标日期
6794,合肥市蜀山区科学技术协会关于信纸的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,合肥市,蜀山区,2771451000000262885,合肥市蜀山区科学技术协会,,,合肥市蜀山区科学技术协会,,合肥双艺广告传媒有限公司,5940,2023/10/17
6795,合肥市蜀山区科学技术协会关于宣传单/海报/说明书的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,合肥市,蜀山区,2781451000000263101,合肥市蜀山区科学技术协会,,,合肥市蜀山区科学技术协会,,合肥域金广告传媒有限公司,6971.03,2023/10/17
6796,合肥市第四十五中学关于万用手册的网上超市采购项目,2023/10/17,学校,企业采购,安徽省,合肥市,,2731451000000266338,合肥市第四十五中学,,,桐城路103号合肥45,,合肥恒创广告装饰有限公司,9133,2023/10/17
6797,合肥市第四十五中学关于文房墨汁的网上超市采购项目,2023/10/17,学校,企业采购,安徽省,合肥市,,2731451000000266334,合肥市第四十五中学,,,桐城路103号合肥45,,合肥恒创广告装饰有限公司,3675,2023/10/17
6798,合肥市庐阳区市场监督管理局关于电动套装工具的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,庐阳区,2331451000000263557,合肥市庐阳区市场监督管理局,,,合肥市庐阳区四里河街道砀山路2199号公共卫生服务中心14楼,,合肥起步商贸有限公司,93600,2023/10/17
6799,合肥市红星路小学关于数码钢琴的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,合肥市,庐阳区,2841451000000266277,合肥市红星路小学,,,庐阳区无为路19号,,安徽明杰教育物资有限公司,2669,2023/10/17
6800,合肥市司法局关于墨粉/碳粉的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,,2031451000000266380,合肥市司法局,,,合肥市司法局,,合肥明驰信息科技有限公司,7470,2023/10/17
6801,蒙城县招商服务中心关于操作系统的网上超市采购项目,2023/10/17,服务,企业采购,安徽省,亳州市,蒙城县,2891451000000263237,蒙城县招商服务中心,,,蒙城县招商服务中心,,蒙城县万博信息技术有限公司,1740,2023/10/17
6802,合肥市包河区望湖街道王卫社区居民委员会关于安全网的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,包河区,2851451000000265798,合肥市包河区望湖街道王卫社区居民委员会,,,合肥市包河区望湖街道王卫社区居民委员会,,合肥源江商贸有限公司,3480,2023/10/17
6803,和县历阳镇幼儿园关于复印机的网上超市采购项目,2023/10/17,学校,企业采购,安徽省,马鞍山市,和县,2081451000000266244,和县历阳镇幼儿园,,,和县历阳镇幼儿园,,马鞍山市朗克电子商务有限公司,14000,2023/10/17
6804,合肥市妇女儿童保健中心关于窗帘及配件的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,合肥市,,2351451000000265777,合肥市妇女儿童保健中心,,,合肥市妇女儿童保健中心,,合肥一帘幽梦布艺装饰有限公司,2976,2023/10/17
6805,安徽省无线电管理委员会办公室合肥管理处关于钓鱼伞的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,,2201451000000265101,安徽省无线电管理委员会办公室合肥管理处,,,安徽省无线电管理委员会办公室合肥管理处,,合肥徕原商贸有限公司,3170,2023/10/17
6806,巢湖市交通运输局关于激光打印机的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,巢湖市,2741451000000266382,巢湖市交通运输局,,,巢湖市交通运输局,,巢湖市光禾电脑有限公司,1999,2023/10/17
6807,亳州市谯城区古城镇中心小学关于其它机电五金的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,亳州市,谯城区,2951451000000266386,亳州市谯城区古城镇中心小学,,,亳州市谯城区古城镇中心小学,,安徽北源智能科技有限公司,26240,2023/10/17
6808,亳州市谯城区观堂学区中心学校关于化纤被的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,亳州市,谯城区,2341451000000266280,亳州市谯城区观堂学区中心学校,,,亳州市谯城区观堂学区中心学校,,亳州市金谯商贸有限公司,4278,2023/10/17
6809,广德市桃州镇第一小学关于运动服饰的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,宣城市,广德市,2801451000000266409,广德市桃州镇第一小学,,,广德市桃州镇第一小学,,广德市顺宸体育用品店,8400,2023/10/17
6810,无为市石涧中心学校关于喷墨打印机的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,芜湖市,,2211451000000265380,无为市石涧中心学校,,,无为市石涧中心学校,,芜湖皖智网络科技有限公司,1100,2023/10/17
6811,亳州学院附属学校关于粉盒的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,亳州市,,2121451000000266388,亳州学院附属学校,,,安徽省亳州市高新区嵇康路559号,,亳州卓朴商贸有限公司,20400,2023/10/17
6812,亳州市谯城区德忠学校关于杂粮组合的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,亳州市,谯城区,2631451000000266401,亳州市谯城区德忠学校,,,亳州市谯城区德忠学校,,亳州市恒帆商贸有限公司,5950,2023/10/17
6813,定远化工学校关于更衣柜的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,滁州市,定远县,2821451000000266822,定远化工学校,,,定远化工学校,,合肥七八九二家具制造有限公司,9800,2023/10/17
6814,合肥市西园新村幼儿园关于家居饰品的网上超市采购项目,2023/10/17,学校,企业采购,安徽省,合肥市,,2351451000000266293,合肥市西园新村幼儿园,,,合肥市西园新村幼儿园,,合肥唯宜景园林工程有限公司,44700,2023/10/17
6815,合肥市梅山饭店有限公司关于电热水壶/保健养生壶配件的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,合肥市,,2031451000000266081,合肥市梅山饭店有限公司,,,合肥市梅山饭店有限公司,,合肥健峰酒店用品有限公司,6726,2023/10/17
6816,合肥高新技术产业开发区社会事业局关于其他试验仪器及装置的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,合肥市,合肥高新技术产业开发区,2481451000000265991,合肥高新技术产业开发区社会事业局,,,合肥高新技术产业开发区社会事业局,,合肥更新进出口贸易有限公司,5000,2023/10/17
6817,合肥经开实验学校关于钢管的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,合肥市,,2631451000000266068,合肥经开实验学校,,,合肥经开实验学校,,合肥惜月办公设备有限公司,5841,2023/10/17
