id,项目名称,发布时间,类别,来源,省份,市,区县,项目编号,采购人,代理机构,预算(万元),项目地址,项目周期,中标人,中标金额(元),中标日期
2305,首都医科大学附属北京天坛医院安徽医院消毒供应中心高温蒸汽灭菌器（含高温灭菌阅读器、封口机）项目,2024/11/29,货物,政府采购,安徽省,芜湖市,,2024BFAHZ03059,皖南医学院弋矶山医院,安徽公共资源交易集团项目管理有限公司,294,芜湖市镜湖区赭山西路2号,合同生效后，采购人通知供货后30天内,安徽汇通医疗器械有限公司,2874000,2024/12/20
2306,2024年安徽商贸职业技术学院图书馆数字资源项目（校采）,2024/12/12,服务,政府采购,安徽省,合肥市,,2024BFAFD03203,安徽商贸职业技术学院,安徽公共资源交易集团项目管理有限公司,67.8,芜湖市弋江区文昌西路24号,合同签订后一年,"中国人民大学书报资料中心,北京万博书香文化有限公司,北京晨星创投科技有限公司,阅途之星(广东)科技有限公司,安徽博图文化有限公司,上海经禾信息技术有限公司,合肥三章信息科技有限公司,合肥瑞思数图科技有限公司,武汉鼎森电子科技有限公司,阅途之星(广东)科技有限公司",50000,2024/12/20
2307,安徽省民营企业公共服务平台升级改造项目,2024/12/9,服务,政府采购,安徽省,合肥市,,2024BFAFN03173,安徽省中小企业发展促进中心,安徽省政府采购中心,250.05,合肥市包河区屯溪路306号,第1包合同签订后项目实施直至项目通过验收。第2包合同签订后4个月完成项目上线运行，同时提供验收合格之日起2年免费运行维护保障服务。第3包合同签订后项目实施直至项目通过验收。第4包合同签订后项目实施直至项目通过验收。,"科大国创软件股份有限公司,安徽电信规划设计有限责任公司,吉林省赛宝信息服务有限公司,安徽信科共创信息安全测评有限公司",2200000,2024/12/20
2308,渡江战役纪念馆安徽名人馆智慧文旅设备更新项目造价咨询及监理服务,2024/12/5,服务,政府采购,安徽省,合肥市,,2024BFFFN03132,渡江战役纪念馆（安徽名人馆）管理处,安徽公共资源交易集团项目管理有限公司,63.99,合肥市包河区云谷路303号,365天,"安徽建清工程咨询有限公司,安徽省科达建设项目管理有限公司",39766,2024/12/20
2309,安徽电子信息职业技术学院数字经济实训基地项目,2024/12/13,服务,政府采购,安徽省,合肥市,,2024BFAHJ03218,安徽电子信息职业技术学院,安徽公共资源交易集团项目管理有限公司,142.4,安徽省蚌埠市龙子湖区曹山路1000号,"第1-2包：合同签订后60个日历天,第3包：合同签订后10个日历天","安徽钱坤智能科技有限公司,厦门科云信息科技有限公司",381800,2024/12/20
2310,安徽电子信息职业技术学院机电实训室改造项目,2024/12/13,服务,政府采购,安徽省,合肥市,,2024BFAHJ03216,安徽电子信息职业技术学院,安徽公共资源交易集团项目管理有限公司,66.12,安徽省芜湖市弋江区红花山路2号,30个日历天,"伟迈云科技股份有限公司,安徽工匠之星教育科技发展有限公司",89000,2024/12/20
2311,安徽省未成年人强制隔离戒毒所迁建工程信息化配套暨病残专区智能化补充采购项目,2024/12/13,工程,政府采购,安徽省,合肥市,,2024BFAHJ03232,安徽省未成年人强制隔离戒毒所,安徽省政府采购中心,79.98,合肥市蜀山区清溪路103号,30个日历日内完成,合肥丽普信息技术有限公司,690000,2024/12/20
2312,庐江县中医院2024年医疗设备采购第一批,2024/12/16,货物,政府采购,安徽省,合肥市,庐江县,2024ANNHJ00471,安徽省庐江县中医院,合肥庐江公共资源交易有限公司,30,安徽省合肥市庐江县庐城镇周瑜大道350号,7个日历日内完成供货、安装、调试,合肥友胜医疗器械销售有限公司,64800,2024/12/20
2313,2024年瑶海区学前教育设施设备增补采购,2024/12/12,货物,政府采购,安徽省,合肥市,瑶海区,2024AYYHJ00109,合肥市瑶海区教育体育局,合肥市瑶海区公共资源交易项目管理有限公司,67.38,安徽省合肥市瑶海区明光路街道裕溪路1619号,30日历天,合肥融户智能科技有限公司,646800,2024/12/20
2314,长临河镇污水处理厂扩建厂运营服务项目,2024/11/21,服务,政府采购,安徽省,合肥市,,2024ADDFZ00287,肥东县长临河镇人民政府,肥东县公共资源交易有限公司,400,安徽省合肥市肥东县长临河镇新大街80号,365日历天,中节能国祯环保科技股份有限公司,3828600,2024/12/20
2315,合肥市通用技术学校2024年质量提升项目学生宿舍设备购置,2024/12/13,货物,政府采购,安徽省,合肥市,,2024ADDHX00302,合肥市通用技术学校,肥东县公共资源交易有限公司,61.3,安徽省合肥市肥东县店埠镇撮镇路95号,15个日历天,江西尚育工贸有限公司,209700,2024/12/20
2316,2025年肥西县城市生命线工程安全运行监测系统（燃气、供水）运维服务,2024/12/16,服务,政府采购,安徽省,合肥市,肥西县,2024AEEFD00323,肥西县住房和城乡建设局,肥西县公共资源交易有限责任公司,181.77,安徽省合肥市肥西县上派镇人民路与合铜路交口,服务期为1年，自2025年1月1日至2025年12月31日。,合肥泽众城市智能科技有限公司,1817000,2024/12/20
2317,蜀山区稻香村街道社区卫生服务中心彩色多普勒超声仪、数字化X线摄影系统（DR）采购及安装,2024/11/29,货物,政府采购,安徽省,合肥市,蜀山区,2024ASSHZ00064,蜀山区稻香村街道社区卫生服务中心,合肥蜀山公共资源交易项目管理有限公司,180,安徽省合肥市蜀山区稻香村街道社区卫生服务中心望江西路116号,10日历天,安徽上药园大医疗器械有限公司,886000,2024/12/20
2318,双墩中心卫生院新院区附属工程,2024/12/9,工程,政府采购,安徽省,合肥市,,2024ACCZN00532,长丰县卫生健康委员会,长丰县公共资源交易有限责任公司,324.29,安徽省合肥市长丰县水湖镇杨公路与南一环路交叉口,90日历天,安徽凝聚建设工程有限公司,2300000,2024/12/20
2319,2024年机场公安局指挥中心大屏幕等设备升级改造（2次）,2024/11/27,货物,政府采购,安徽省,合肥市,,2024BFAHZ03032,安徽省公安厅机场公安局,安徽省政府采购中心,50,合肥市蜀山区春兰路与海棠花路交叉路口,30个日历天,安徽省通信产业服务有限公司,379899,2024/12/19
2320,2025年安徽农业大学校园安保服务采购项目,2024/11/28,服务,政府采购,安徽省,合肥市,,2024BFAFZ03043,安徽农业大学,安徽公共资源交易集团项目管理有限公司,480,合肥市蜀山区长江西路130号,12个月,中保恒杰保安服务集团有限公司,4510668.54,2024/12/19
2321,上海中医药大学附属曙光医院安徽医院信息化建设等保测评、跟踪审计服务第2包（2次）,2024/11/28,服务,政府采购,安徽省,合肥市,,2024BFAFZ03044,安徽中医药大学第一附属医院,安徽省政府采购中心,16,合肥市蜀山区梅山路117号,合同签订之日起三年,安徽安天利信工程管理股份有限公司,43800,2024/12/19
2322,合肥市医疗保障信息平台网络安全加固项目第1包硬件采购,2024/11/27,货物,政府采购,安徽省,合肥市,,2024BFFHZ03030,合肥市医疗保障局,安徽公共资源交易集团项目管理有限公司,275,合肥市蜀山区怀宁路1800号,合同签订后30天内完成供货，供货后30天内完成安装,科大国创软件股份有限公司,2656000,2024/12/19
2323,合肥市医疗保障信息平台网络安全加固项目第2包监理服务,2024/11/28,监理,政府采购,安徽省,合肥市,,2024BFFHZ03042,合肥市医疗保障局,安徽公共资源交易集团项目管理有限公司,2.42,合肥市蜀山区怀宁路1800号,180（日历天）,合肥信息工程监理咨询有限公司,24200,2024/12/19
2324,安徽审计职业学院中小企业创业与经营综合实训中心建设项目,2024/11/28,工程,政府采购,安徽省,合肥市,,2024BFAHZ03045,安徽审计职业学院,安徽省政府采购中心,165,合肥市蜀山区方兴大道509号,60日历天,安徽五十六钡教育科技有限责任公司,1596000,2024/12/19
2325,宿州学院2024年实验室建设项目-音乐学院智慧实训室设备采购项目第2包（3次）,2024/11/28,货物,政府采购,安徽省,宿州市,,2024BFAHZ03039,宿州学院,安徽公共资源交易集团项目管理有限公司,10,宿州市埇桥区学府大道1769号,40天,宿州朝艺装饰有限公司,88716,2024/12/19
2326,宿州学院2024年教育园区校区17号学生公寓组合家具采购项目,2024/10/31,货物,政府采购,安徽省,宿州市,,2024BFAHZ02780,宿州学院,安徽公共资源交易集团项目管理有限公司,277.92,宿州市埇桥区学府大道1769号,合同签订后15日内完成供货、安装等工作,"安徽省汉帮家具制造有限公司,安徽云坛信息科技有限公司,合肥长安办公家具制造有限公司,合肥市金阔商贸有限公司",195200,2024/12/19
2327,新能源汽车高压零部件检验检测公共服务平台楼宇智能化建设,2024/11/28,服务,政府采购,安徽省,合肥市,,2024BFAHZ03041,安徽省产品质量监督检验研究院,安徽省政府采购中心,129,合肥市包河区延安路13号,60个日历日,安徽博达项目管理咨询有限公司,1269141.5,2024/12/19
2328,皖西学院校园安保服务项目,2024/11/28,服务,政府采购,安徽省,六安市,,2024BFAFZ03033,皖西学院,安徽公共资源交易集团项目管理有限公司,225,安徽省六安市云露桥西月亮岛,服务期限为合同签订后一年（2025年1月1日-2025年12月31日）,中保恒杰保安服务集团有限公司,2202710.28,2024/12/19
2329,2025年安徽省审计厅机关办公区物业管理,2024/11/29,服务,政府采购,安徽省,合肥市,,2024BFAFN03054,安徽省审计厅,安徽省政府采购中心,300,合肥市包河区屯溪路272号,合同签订后一年，如成交供应商履约良好，在年度预算能保障的前提下，可以续签后两年度合同,安徽省长城物业管理有限公司,2900000,2024/12/19
2330,2025年省级生产建设项目水土保持方案技术评审服务,2024/12/6,服务,政府采购,安徽省,合肥市,,2024AFAFN03142,安徽省水利发展规划研究中心,安徽安兆工程技术咨询服务有限公司,300,安徽省合肥市包河区九华山路48号,365天,"安徽省水利水电勘测设计研究总院股份有限公司,中水淮河规划设计研究有限公司,安徽省（水利部淮河水利委员会）水利科学研究院（安徽省水利工程质量检测中心站）",998000,2024/12/19
2331,安徽电子信息职业技术学院工业互联网应用实验装置项目,2024/12/13,货物,政府采购,安徽省,合肥市,,2024BFAHJ03219,安徽电子信息职业技术学院,安徽公共资源交易集团项目管理有限公司,98,安徽省芜湖市弋江区红花山路2号,30个日历天,天津博诺智创机器人技术有限公司,970000,2024/12/19
2332,安徽电子信息职业技术学院市域产教联合体集成电路封装与测试实训装置,2024/12/13,货物,政府采购,安徽省,合肥市,,2024BFAHJ03217,安徽电子信息职业技术学院,安徽公共资源交易集团项目管理有限公司,70,安徽省芜湖市弋江区红花山路2号,30个日历天,杭州鼎盛合信息科技有限公司,698655,2024/12/19
2333,安徽电子信息职业技术学院教学能力建设项目,2024/12/13,服务,政府采购,安徽省,合肥市,,2024BFAFJ03222,安徽电子信息职业技术学院,安徽公共资源交易集团项目管理有限公司,139,安徽省蚌埠市龙子湖区曹山路1000号,第1包：合同签订后1日历天内开始服务，直至教学能力大赛结束。并提供1年的咨询支持服务。第2包：自合同签订之日起150个日历日内交付建设成果。免费质保期为验收合格之日起2年，并提供终身维护支持。第3包：合同签订后120个日历天内。,"安徽超星信息技术有限公司,安徽泛雅教育科技有限公司",95000,2024/12/19
2334,2024年瑶海区智慧学校智慧课堂设备增补,2024/12/12,货物,政府采购,安徽省,合肥市,瑶海区,2024AYYHJ00108,合肥市瑶海区教育体育局,合肥市瑶海区公共资源交易项目管理有限公司,72.9,安徽省合肥市瑶海区明光路街道裕溪路1619号,50日历天,合肥正先电子科技有限公司,709500,2024/12/19
2335,儿童主任、督导员服务项目（含培训、团体辅导）,2024/11/28,服务,政府采购,安徽省,合肥市,,2024ADDFZ00294,肥东县民政局,肥东县公共资源交易有限公司,1676.14,安徽省合肥市肥东县店埠镇撮镇路35号,365日历天,安徽皖信人力资源管理有限公司,16755718.5,2024/12/19
2336,购置电动汽车充电桩检定装置项目（二次）,2024/12/12,货物,政府采购,安徽省,合肥市,,2024ADDHX00300,肥东县市场监督管理局,肥东县公共资源交易有限公司,32,安徽省合肥市肥东县店埠镇石塘路8号,45（日历天）,合肥迈思瑞仪器仪表有限公司,314000,2024/12/19
2337,肥西县工人文化宫物业服务,2024/12/13,服务,政府采购,安徽省,合肥市,肥西县,2024AEEFD00320,肥西县总工会,肥西县公共资源交易有限责任公司,120,安徽省合肥市肥西县上派镇站下路与青龙潭路交口西南侧,响应采购文件要求,合肥信服物业管理有限公司,1199996.51,2024/12/19
2338,合肥市教育考试智能安检门及技术服务采购项目,2024/11/21,服务,政府采购,安徽省,合肥市,,2024BFFHZ02964,合肥市教育局,合肥市政府采购中心,600,合肥市蜀山区天鹅湖路558号,合同签订后至2029年12月31日,中移建设有限公司,688800,2024/12/18
2339,合肥市森林防灭火应急救援队伍能力提升建设项目装备采购,2024/11/25,货物,政府采购,安徽省,合肥市,,2024BFFHZ03001,合肥市应急管理局,合肥市政府采购中心,1693.65,合肥市蜀山区潜山路550号,90个日历天,大连联聚德消防科技有限公司,16485050,2024/12/18
2340,安庆师范大学传媒学院无人机航拍模拟飞行设备采购,2024/11/27,货物,政府采购,安徽省,安庆市,,2024BFAHZ03025,安庆师范大学,安徽公共资源交易集团项目管理有限公司,53,安庆市宜秀区集贤北路1318号,30个日历天,合肥市黄米电子商务有限公司,492000,2024/12/18
2341,安庆师范大学耕地质量智慧监测与地力提升安徽省重点实验室设备采购项目6,2024/11/26,货物,政府采购,安徽省,安庆市,,2024BFAHZ03007,安庆师范大学,安徽公共资源交易集团项目管理有限公司,103.7,安庆市宜秀区集贤北路1318号,35个日历天,安徽嘉典工程技术有限公司,1033900,2024/12/18
2342,安徽医科大学炎症与免疫国家级重点科技创新平台重大科研设备更新项目-脑科学平台设备购置项目,2024/11/26,货物,政府采购,安徽省,合肥市,,2024BFAHZ03014,安徽医科大学,安徽公共资源交易集团项目管理有限公司,1500,合肥市蜀山区梅山路69号,合同签订后，如为进口设备90日内完成供货、安装及调试，如为国产设备30日内完成供货、安装及调试。,"安徽丰焱科技有限公司,安徽语唯科技有限公司,深圳市瑞沃德生命科技股份有限公司,安徽省技术进出口股份有限公司",1048000,2024/12/18
2343,安徽省人民政府机关医院采购彩超、骨密度仪、动脉硬化检测仪、非接触式眼压计、眼科裂隙灯、心电工作站等共6台（套）必须医疗设备,2024/11/26,货物,政府采购,安徽省,合肥市,,2024BFAHZ03013,安徽省人民政府机关医院,安徽公共资源交易集团项目管理有限公司,227.4,合肥市庐阳区红星路90号,15个日历天,"安徽佳合恒凯医疗器械有限公司,合肥元青医疗科技有限公司",996800,2024/12/18
2344,安徽省美术馆2025年数字艺术展（一）采购项目,2024/11/25,服务,政府采购,安徽省,合肥市,,2024BFAFZ03005,安徽省美术馆,安徽省政府采购中心,260,合肥市包河区成都路1号,12个月,北京紫金青华建设工程有限公司,2596333.1,2024/12/18
2345,合肥市图书馆中心机房软硬件设备运行维护服务,2024/12/6,服务,政府采购,安徽省,合肥市,,2024BFFFN03153,合肥市图书馆,合肥市政府采购中心,44.7,合肥市庐阳区琥珀山庄北出口1号,2025年1月1日至2025年12月31日,安徽奥里奥克科技股份有限公司,445000,2024/12/18
2346,安徽省收养能力评估应用升级改造项目,2024/12/6,服务,政府采购,安徽省,合肥市,,2024BFAFN03155,安徽省申请救助家庭经济状况核对中心（安徽省民政信息中心）,安徽省政府采购中心,44.3,合肥市包河区屯溪路435号,第1包：合同签订后四个月内完成系统开发和系统试运行工作，试运行结束后提供3年运维服务。第2包：自合同签订之日起至项目验收完毕。第3包：合同签订后至项目通过验收止。第4包：合同签订后至项目通过验收止。,"合肥天帷信息安全技术有限公司,合肥信息工程监理咨询有限公司,安徽电信规划设计有限责任公司",86000,2024/12/18
2347,安徽省政协网上协商应用开发项目第5包（2次）,2024/12/5,服务,政府采购,安徽省,合肥市,,2024BFAFN03125,中国人民政治协商会议安徽省委员会办公厅,安徽省政府采购中心,7,合肥市包河区中山路1号,自合同签订之日起至项目终验完成,金盾检测技术股份有限公司,55000,2024/12/18
2348,安徽省文化和旅游厅物业管理服务,2024/12/2,服务,政府采购,安徽省,合肥市,,2024BFAFN03087,安徽省文化和旅游厅,安徽省政府采购中心,110,合肥市蜀山区龙图路666号,2025年1月1日-2025年12月31日,安徽远成物业服务集团有限公司,1077770.36,2024/12/18
2349,安徽省食品药品检验研究院物业管理服务釆购项目,2024/12/6,服务,政府采购,安徽省,合肥市,包河区,2024BFAFN03146,安徽省食品药品检验研究院,安徽省政府采购中心,230,合肥市包河区乌鲁木齐路15号,合同期限为一年，合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年的采购合同，最多续签2次，合同一年一签,安徽新华物业服务集团有限公司,2299000,2024/12/18
2350,巢湖市园林管理处2025-2027年度市民广场、西环城河等公园养护管理服务,2024/11/26,服务,政府采购,安徽省,合肥市,巢湖市,2024AMMFZ00166,巢湖市林业和园林建设服务中心,巢湖市清诚工程咨询有限公司,255,安徽省合肥市巢湖市卧牛山街道东风路436号,365天,"安徽省友林林业技术发展有限公司,安徽省蓝斯凯园林工程有限公司",1271567.43,2024/12/18
2351,巢湖市园林管理处2025-2027年度环巢湖大道养护管理服务,2024/11/26,服务,政府采购,安徽省,合肥市,巢湖市,2024AMMFZ00165,巢湖市林业和园林建设服务中心,巢湖市清诚工程咨询有限公司,220,安徽省合肥市巢湖市卧牛山街道东风路436号,365天,合肥金域园林有限公司,1196769.35,2024/12/18
2352,蒙城路小学等7个项目结算审核服务,2024/12/6,服务,政府采购,安徽省,合肥市,,2024ALLFN00148,合肥市庐阳区重点工程建设管理中心,合肥庐阳合信公共资源交易项目管理有限公司,174.76,安徽省合肥市庐阳区砀山路2666号,120日历天,"安徽双泽工程造价咨询有限公司,合肥信诚工程造价咨询有限公司",520000,2024/12/18
2353,新站高新区2024年中小学电脑设备采购与安装,2024/12/12,货物,政府采购,安徽省,合肥市,高新区,2024AXXHJ00110,安徽合肥新站高新技术产业开发区社会发展局,合肥新站公共资源交易有限公司,136.5,安徽省合肥市新站区文忠路999号,30个日历天,安徽澳信网络科技有限公司,886710,2024/12/18
2354,安徽肥东管湾国家湿地公园2025年委托运营管理服务项目,2024/11/26,服务,政府采购,安徽省,合肥市,肥东县,2024ADDFZ00291,肥东县林业建设服务中心,肥东县公共资源交易有限公司,650,安徽省合肥市肥东县店埠镇合蚌路60号,365日历天,广艺生态环境有限公司,5986580,2024/12/18
2355,肥西县餐饮场所安装可燃气体报警装置项目,2024/12/11,货物,政府采购,安徽省,合肥市,肥西县,2024AEEHD00318,肥西县住房和城乡建设局,肥西县公共资源交易有限责任公司,274,安徽省合肥市肥西县上派镇人民路与合铜路交口南100米,合同签订后20日历天内供应商需完成设备安装调试工作,合肥泽众城市智能科技有限公司,2738000,2024/12/18
2356,肥西县民政局2025年低保、脱贫、特困供养对象老年人意外伤害保险承包服务,2024/12/5,服务,政府采购,安徽省,合肥市,肥西县,2024AEEFN00312,肥西县民政局,肥西县公共资源交易有限责任公司,144,安徽省合肥市肥西县上派镇三河路30号,365（日历天）,中国人寿保险股份有限公司合肥市分公司,1440000,2024/12/18
2357,安徽大学百吨级二氧化碳捕集与化学转化一体化示范平台采购项目,2024/11/25,货物,政府采购,安徽省,合肥市,,2024BFAHZ03004,安徽大学,安徽公共资源交易集团项目管理有限公司,700,合肥市蜀山区九龙路111号,8个月,中国科学院山西煤炭化学研究所,746400,2024/12/17
2358,安徽大学高压测试与表征系统采购项目,2024/11/25,货物,政府采购,安徽省,合肥市,,2024BFAHZ03003,安徽大学,安徽公共资源交易集团项目管理有限公司,70,合肥市蜀山区九龙路111号,90天,安徽科硕仪器设备有限公司,697000,2024/12/17
2359,安徽工业大学机械工程学院2024年学科建设项目第2包（2次）,2024/11/22,服务,政府采购,安徽省,马鞍山市,,2024BFAHZ02992,安徽工业大学,安徽公共资源交易集团项目管理有限公司,35,马鞍山市花山区湖东北路400号,50个日历天,宁波市镇海区庄市锦琦机械模具厂,349000,2024/12/17
2360,安徽省消防救援总队2024年度装备部门集中采购项目（消防车辆）第69-70包,2024/11/22,货物,政府采购,安徽省,合肥市,,2024BFAHZ02995,安徽省消防救援总队,安徽公共资源交易集团项目管理有限公司,510,合肥市包河区中山路3388号,国产底盘车辆：合同签订后150日历天内。进口底盘车辆：底盘到港后90日历天内，最长不超过合同签订后300日历天,"徐工消防安全装备有限公司,湖南中联重科应急装备有限公司",3300000,2024/12/17
2361,合肥市数据资源工作宣传服务项目,2024/12/16,服务,政府采购,安徽省,合肥市,,2024BFFFD03239,合肥市数据资源管理局,安徽公共资源交易集团项目管理有限公司,102.52,合肥市蜀山区龙图路666号,合同签订后一年,合肥日报传媒集团(合肥日报社),1025100,2024/12/17
2362,2024年安徽体彩数据中心软件及设备购置,2024/12/3,货物,政府采购,安徽省,合肥市,,2024BFAFN03107,安徽省体育彩票管理中心,安徽省政府采购中心,48.32,合肥市包河区芜湖路51号,合同签订后一年,安徽济舟信息技术有限公司,481800,2024/12/17
2363,2025年省行政中心3号楼会议系统维保专项,2024/12/3,服务,政府采购,安徽省,合肥市,,2024BFAFN03105,中国人民政治协商会议安徽省委员会办公厅,安徽省政府采购中心,62.6,合肥市包河区中山路1号,2025年1月1日——2025年12月31日,科大国创软件股份有限公司,618600,2024/12/17
2364,合肥市图书馆自助借还等软硬件设备运维服务（2025年）,2024/12/6,服务,政府采购,安徽省,合肥市,,2024BFFFN03152,合肥市图书馆,合肥市政府采购中心,41.15,合肥市庐阳区琥珀山庄北出口1号,2025年1月1日至2025年12月31日,安徽群彩互联网络有限公司,409600,2024/12/17
2365,安徽省工贸行业粉尘涉爆企业安全生产风险监测预警数据治理项目,2024/12/6,服务,政府采购,安徽省,合肥市,,2024BFAFN03145,安徽省应急管理厅,安徽省政府采购中心,140.18,合肥市包河区马鞍山路509号,第1包：自签订合同之日起，总体建设工期为10个月，项目通过终验后，提供不少于3年的免费售后服务。第2包：自合同签订之日起至项目通过验收。第3包：自合同签订之日起至项目完成竣工结算审计。第4包：自合同签订之日起至项目通过验收。,"北方实验室（沈阳）股份有限公司,安徽新思辰工程咨询有限公司,赛飞特工程技术集团有限公司",132000,2024/12/17
2366,合肥市卫生健康委员会综合执法监督所医疗服务与保障能力提升补助资金（2次）,2024/12/10,服务,政府采购,安徽省,合肥市,包河区,2024BFFHJ03178,合肥市卫生健康委员会综合执法监督所,安徽公共资源交易集团项目管理有限公司,35,合肥市包河区烟墩街道云谷路与玉龙路交口,90个日历天,安徽博悦测试技术有限公司,330140,2024/12/17
2367,2025年巢湖市义务教育学校作业本印刷及配送服务,2024/12/6,服务,政府采购,安徽省,合肥市,巢湖市,2024AMMFN00171,巢湖市教育体育局,安徽华正建设工程咨询有限公司,165,安徽省合肥市巢湖市卧牛山街道青年路5号,1+X(X≤2)年,巢湖市远航印务有限公司,1122300,2024/12/17
2368,庐江县水权确权及农业用水调查项目,2024/12/6,服务,政府采购,安徽省,合肥市,庐江县,2024ANNFN00462,庐江县水务局,合肥庐江公共资源交易有限公司,60,安徽省合肥市庐江县庐城镇黄山北路99号,60日历日,安徽翔凌水利规划设计有限公司,500000,2024/12/17
2369,肥东县（小型餐饮）燃气泄漏监测预警项目,2024/12/12,服务,政府采购,安徽省,合肥市,肥东县,2024ADDHD00301,肥东县住房和城乡建设局,肥东县公共资源交易有限公司,102,安徽省合肥市肥东县店埠镇龙泉路8号,2024年12月28日前完成安装,安徽鸿凌科技股份有限公司,1017000,2024/12/17
2370,智慧肥西平台运营服务（2024年）,2024/12/11,服务,政府采购,安徽省,合肥市,肥西县,2024AEEFD00316,肥西县数据资源管理局（肥西县政务服务管理局）,肥西县公共资源交易有限责任公司,200,安徽省合肥市肥西县上派镇中派片区芮祠路与宜城路交叉口灯塔小区商业一号楼1-4层,合同签订后一年,肥西县数字化建设发展有限责任公司,1984000,2024/12/17
2371,长丰县2024年农业水价综合改革计量设施安装采购（二次）,2024/11/26,货物,政府采购,安徽省,合肥市,长丰县,2024ACCHZ00519,长丰县水务局,长丰县公共资源交易有限责任公司,134,安徽省合肥市长丰县水湖镇杨公路与南一环交口北部综合楼,30日历天,安徽中科大国祯信息科技有限责任公司,862000,2024/12/17
2372,合肥市第一人民医院各院区检验科PCR相关试剂配送服务项目,2024/11/21,服务,政府采购,安徽省,合肥市,,2024BFFFZ02971,合肥市第一人民医院,安徽公共资源交易集团项目管理有限公司,207,合肥市庐阳区淮河路390号,合同生效后1年内按采购人要求分批供货，每批货物接采购人通知后，在3个日历日内完成供货。1年期满，经考核合格后，在年度预算能保障的前提下，合同甲乙双方无异议，可续签后1年合同，最多续签一次，中标综合单价不变。,安徽德康润生物技术有限公司,2022950,2024/12/16
2373,安徽工业大学电气与信息工程学院2024年学科建设项目,2024/11/21,服务,政府采购,安徽省,马鞍山市,,2024BFAHZ02975,安徽工业大学,安徽公共资源交易集团项目管理有限公司,200,马鞍山市花山区湖东北路400号,第1包：合同签订后3个月内完成供货、安装及调试等工作；第2、3、4包：合同签订后30个日历天内完成供货、安装及调试等工作。,"安徽常硕智能科技有限公司,安徽省天之新科技有限公司,安徽常硕智能科技有限公司,安徽佐标智能科技有限公司",486800,2024/12/16
2374,安徽省大气环境管理一体化—智慧监管应用建设项目,2024/11/22,服务,政府采购,安徽省,合肥市,,2024BFAFZ02984,安徽省环境信息中心,安徽省政府采购中心,1480.03,合肥市蜀山区怀宁路1766号,合同生效之日起12个月,生态环境部信息中心;湖北恒普科技有限公司,1308000,2024/12/16
2375,2025年基础信息系统安全运维服务（2次）,2024/12/4,服务,政府采购,安徽省,合肥市,,2024BFAFN03123,安徽省教育招生考试院,安徽省政府采购中心,40,合肥市蜀山区绩溪路240号,签订合同之日起至2025年12月10日，如成交供应商履约良好且在次年财政预算能够得到保障的情况下，双方可以续签合同，合同1年1签，续签不超过2次。,"奇安信网神信息技术（北京）股份有限公司,北京神州绿盟科技有限公司",224020,2024/12/16
2376,2025年巢湖市人民法院专业保安服务,2024/12/3,服务,政府采购,安徽省,合肥市,巢湖市,2024BFFFN03099,巢湖市人民法院,安徽公共资源交易集团项目管理有限公司,68,合肥市巢湖市健康东路,365（日历天）,巢湖市金盾保安服务有限公司,673182.76,2024/12/16
2377,安全资格证书办理一件事项目,2024/11/29,服务,政府采购,安徽省,合肥市,,2024BFAFN03058,安徽省应急管理厅,安徽省政府采购中心,173.2,合肥市包河区马鞍山路509号,1包：自合同签订之日起至运维期满止。2包：合同签订后至所有项目全部验收完成。3包：合同签订后至测试服务范围内的所有项目通过最终验收。,"浪潮软件科技有限公司,山东卓朗检测股份有限公司",1580000,2024/12/16
2378,安徽省消防救援局2024年度信息化运维服务项目,2024/12/3,服务,政府采购,安徽省,合肥市,,2024BFAFN03098,安徽省消防救援局,安徽公共资源交易集团项目管理有限公司,123.72,合肥市包河区中山路3388号,驻场服务一年，第一年合同履约完成后，若成交供应商履约良好，经双方共同确认服务内容协商一致且年度预算能保障的前提下，可续签下一年度合同，合同一年一签，续签年限最多不超过2年,安徽电信规划设计有限责任公司,1175000,2024/12/16
2379,安徽建筑大学学生公寓、教室等场所空调维保项目,2024/12/5,服务,政府采购,安徽省,合肥市,包河区,2024BFAFJ03133,安徽建筑大学,安徽公共资源交易集团项目管理有限公司,85,合肥市包河区金寨南路856号,合同签订后1年。合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年的采购合同，最多续签2次，合同一年一签。,武汉明大欣瑞科技有限公司,285000,2024/12/16
2380,乐桥中心卫生院电子计算机断层扫描（CT）设备采购,2024/11/22,货物,政府采购,安徽省,合肥市,,2024ANNHZ00452,安徽省庐江县人民医院,安徽省招标集团股份有限公司,160,安徽省合肥市庐江县庐城镇文明中路32号,30日历天,安徽国睿医疗科技有限公司,1353000,2024/12/16
2381,战新产业进口危险化学品智慧检验监管辅助平台,2024/11/22,服务,政府采购,安徽省,合肥市,,2024AJJFZ00082,合肥经济技术开发区自贸试验区管理局,合肥经济技术开发区公共资源交易中心,439,安徽省合肥市经开区翡翠路398号B座2417室,240日历天,杭州杭测信息技术有限公司,4230000,2024/12/16
